CMN0040	CMN0039	CMN0047	CMN0048	CMN0039_GO_wnt	CMN0040_GO_wnt	CMN0039_GO_mapk	CMN0040_GO_mapk	CMN0039_GO_cyst	CMN0040_GO_cyst	CMN0039_GO_fate	CMN0040_GO_fate	wnt_radius	wnt_colour	mapk_radius	mapk_colour	cyst_radius	cyst_colour	fate_radius	fate_colour
2.553822367	2.213572206	2.943494516	2.720985744	2.213572206	2.553822367	2.213572206	2.553822367	2.213572206	2.553822367	2.213572206	2.553822367	2.5	black	2.5	black	2.5	black	2.5	black
1.954242509	1.079181246	1.255272505	2.089905111	1.079181246	1.954242509	1.079181246	1.954242509	1.079181246	1.954242509	1.079181246	1.954242509	2.5	black	2.5	black	2.5	black	2.5	black
1.633468456	1.633468456	1.707570176	1.544068044	1.633468456	1.633468456	1.633468456	1.633468456	1.633468456	1.633468456	1.633468456	1.633468456	2.5	black	2.5	black	2.5	black	2.5	black
-1.522878745	2.213572206	-1.522878745	-1.522878745	2.213572206	-1.522878745	2.213572206	-1.522878745	2.213572206	-1.522878745	2.213572206	-1.522878745	2.5	black	2.5	black	2.5	black	2.5	black
1.968342831	2.079072659	1.949243591	1.99550357	2.079072659	1.968342831	2.079072659	1.968342831	2.079072659	1.968342831	2.079072659	1.968342831	2.5	black	2.5	black	2.5	black	2.5	black
1.93636292	1.648652695	1.686278678	1.551449998	1.648652695	1.93636292	1.648652695	1.93636292	1.648652695	1.93636292	1.648652695	1.93636292	2.5	black	2.5	black	2.5	black	2.5	black
1.113943352	1.414973348	1.255272505	1.322219295	1.414973348	1.113943352	1.414973348	1.113943352	1.414973348	1.113943352	1.414973348	1.113943352	2.5	black	2.5	black	2.5	black	2.5	black
0	0	0	0	0	0	0	0	0	0	0	0	2.5	black	2.5	black	2.5	black	2.5	black
1.763427994	2.100405012	2.127104798	0	2.100405012	1.763427994	2.100405012	1.763427994	2.100405012	1.763427994	2.100405012	1.763427994	2.5	black	2.5	black	2.5	black	2.5	black
0	0	0.064457989	0	0	0	0	0	0	0	0	0	2.5	black	2.5	black	2.5	black	2.5	black
0.301029996	2.213572206	1.073351702	0	2.213572206	0.301029996	2.213572206	0.301029996	2.213572206	0.301029996	2.213572206	0.301029996	2.5	black	2.5	black	2.5	black	2.5	black
1.799340549	2.123916943	1.62324929	1.655522596	2.123916943	1.799340549	2.123916943	1.799340549	2.123916943	1.799340549	2.123916943	1.799340549	2.5	black	2.5	black	2.5	black	2.5	black
2.53529412	2.34240294	2.457881897	2.530199698	2.34240294	2.53529412	2.34240294	2.53529412	2.34240294	2.53529412	2.34240294	2.53529412	2.5	black	2.5	black	2.5	black	2.5	black
1.463743721	2.113843119	0	0.958563883	2.113843119	1.463743721	2.113843119	1.463743721	2.113843119	1.463743721	2.113843119	1.463743721	2.5	black	2.5	black	2.5	black	2.5	black
2.222716471	2.004321374	1.939519253	2.195899652	2.004321374	2.222716471	2.004321374	2.222716471	2.004321374	2.222716471	2.004321374	2.222716471	2.5	black	2.5	black	2.5	black	2.5	black
2.6122433	2.508435443	2.856124444	2.710117365	2.508435443	2.6122433	2.508435443	2.6122433	2.508435443	2.6122433	2.508435443	2.6122433	2.5	black	2.5	black	2.5	black	2.5	black
2.679427897	2.981365509	2.781755375	2.727541257	2.981365509	2.679427897	2.981365509	2.679427897	2.981365509	2.679427897	2.981365509	2.679427897	2.5	black	2.5	black	2.5	black	2.5	black
2.499687083	2.139879086	1.655522596	2.644665033	2.139879086	2.499687083	2.139879086	2.499687083	2.139879086	2.499687083	2.139879086	2.499687083	2.5	black	2.5	black	2.5	black	2.5	black
