"gene"	"transcript"	"logFC_gast_nect"	"logCPM_gast_nect"	"PValue_gast_nect"	"P_adjust_gast_nect"	"CMN0040"	"CMN0039"	"CMN0047"	"CMN0048"	"go"	"CMN0039_GO_wnt"	"CMN0040_GO_wnt"	"CMN0039_GO_mapk"	"CMN0040_GO_mapk"	"CMN0039_GO_cyst"	"CMN0040_GO_cyst"	"CMN0039_GO_fate"	"CMN0040_GO_fate"
"48"	"c100897_g1_i2"	"86526"	0.0173786553876994	8.22614188642476	0.983318643117415	1	2917.1	5296.76	3814.41	4469.79	"GO:0005654,GO:0005737,GO:0005813,GO:0019773,GO:0070062,GO:0001530,GO:0004298,GO:0002376,GO:0002862,GO:0010499,GO:0043161"	5296.76	2917.1	5296.76	2917.1	5296.76	2917.1	5296.76	2917.1
"49"	"c100909_g1_i1"	"117791"	0.405006008484496	5.57141610325312	0.636772166952348	1	461	1074.16	573	554	"GO:0005665,GO:0001055,GO:0003677,GO:0005096,GO:0030275,GO:0046983,GO:0000398,GO:0006283,GO:0006367,GO:0006368,GO:0006370,GO:0016032,GO:0034587,GO:0035019,GO:0035556,GO:0043547,GO:0050434"	1074.16	461	1074.16	461	1074.16	461	1074.16	461
"50"	"c100948_g1_i1"	"80059"	-1.56420800990014	4.38174562721807	0.0698451873960529	1	432	159	155	341	"GO:0005794,GO:0016021,GO:0016023,GO:0048471,GO:0070062,GO:0008324,GO:0006829,GO:0032119,GO:0098655"	159	432	159	432	159	432	159	432
"51"	"c101005_g1_i1"	"66868"	0.702609575567496	-0.255522817594146	0.589280975011193	1	5	5	20	8	"GO:0007155,GO:0033334"	5	120.95125	5	5	31.8833333333333	5	184.124	156.602
"52"	"c101029_g1_i1"	"43800"	-0.392488989218283	7.03337544232428	0.630796618549714	1	1768.72	1771.87	1629.86	1930.4	"GO:0005634,GO:0005737,GO:0003723,GO:0007275"	1771.87	1768.72	1771.87	1768.72	1771.87	144.441666666667	1771.87	156.602
"53"	"c101029_g1_i2"	"43801"	-0.0842380092554485	3.32120078720016	0.946028750659832	1	212.99	255.59	42.6	42.6	"GO:0005634,GO:0005737,GO:0003723,GO:0007275"	255.59	212.99	255.59	212.99	255.59	212.99	255.59	212.99
"54"	"c101030_g1_i1"	"40751"	-9.25972398467129	1.54429202465897	0.00134306293853468	1	141.07	0	0	0	"GO:0005719,GO:0005730,GO:0005739,GO:0005819,GO:0016604,GO:0030424,GO:0043234,GO:0048471,GO:0000978,GO:0001077,GO:0031625,GO:0032403,GO:0046982,GO:0070491,GO:0070888,GO:0000122,GO:0000165,GO:0001658,GO:0001783,GO:0002082,GO:0002904,GO:0006006,GO:0006338,GO:0006352,GO:0006366,GO:0006848,GO:0006865,GO:0006879,GO:0006919,GO:0007007,GO:0007050,GO:0007346,GO:0008283,GO:0008630,GO:0010332,GO:0010918,GO:0019087,GO:0032091,GO:0032204,GO:0032873,GO:0035457,GO:0035690,GO:0035914,GO:0042474,GO:0043279,GO:0043473,GO:0044330,GO:0044336,GO:0044337,GO:0045656,GO:0045787,GO:0045821,GO:0045944,GO:0046325,GO:0046722,GO:0048146,GO:0048147,GO:0048705,GO:0050679,GO:0050910,GO:0051782,GO:0090096,GO:1901857,GO:2000573,GO:2001022,GO:2001171,GO:2001235"	0	141.07	0	141.07	0	141.07	0	141.07
"55"	"c101030_g1_i3"	"40750"	-1.86788864995103	4.99302326993218	0.0350759234827662	1	774.67	261.9	152.83	471.32	"GO:0005719,GO:0005730,GO:0005739,GO:0005819,GO:0016604,GO:0030424,GO:0043234,GO:0048471,GO:0000978,GO:0001077,GO:0031625,GO:0032403,GO:0046982,GO:0070491,GO:0070888,GO:0000122,GO:0000165,GO:0001658,GO:0001783,GO:0002082,GO:0002904,GO:0006006,GO:0006338,GO:0006352,GO:0006366,GO:0006848,GO:0006865,GO:0006879,GO:0006919,GO:0007007,GO:0007050,GO:0007346,GO:0008283,GO:0008630,GO:0010332,GO:0010918,GO:0019087,GO:0032091,GO:0032204,GO:0032873,GO:0035457,GO:0035690,GO:0035914,GO:0042474,GO:0043279,GO:0043473,GO:0044330,GO:0044336,GO:0044337,GO:0045656,GO:0045787,GO:0045821,GO:0045944,GO:0046325,GO:0046722,GO:0048146,GO:0048147,GO:0048705,GO:0050679,GO:0050910,GO:0051782,GO:0090096,GO:1901857,GO:2000573,GO:2001022,GO:2001171,GO:2001235"	261.9	774.67	261.9	774.67	261.9	774.67	261.9	774.67
"56"	"c101034_g1_i1"	"60190"	-0.473292164735766	2.15807768284439	0.625180502710139	1	59.08	58	50.84	66	"GO:0043231,GO:0016740,GO:0008152"	58	59.08	58	59.08	58	59.08	58	59.08
"57"	"c101034_g1_i2"	"60189"	5.12548240610387e-15	-2.78163738332491	1	1	0	0	0	0	"GO:0005634,GO:0005739,GO:0004809,GO:0002940"	0	0	0	0	0	0	0	0
